,Name,SKU,Image,Part Type
,90-Degree Gusset,276-1110-002,,Structure
,Angle Gusset,276-1110-003,,Structure
115,"12"" Drive Shaft ",276-1149,,Motion
116,Bearing Flat ,276-1209,,Motion
117,15 x 30 Base Plate ,276-1341,,Structure
119,#8-32 Shoulder Screws ,276-1408,,Fastener
120,"3-Wire ""Y""-Cable 6"" ",276-1423,,Electronics
122,"3-Wire Extension Cable 12"" ",276-1426,Image Coming Soon,Electronics
123,"3-Wire Extension Cable 6"" ",276-1427,Image Coming Soon,Electronics
125,"2-Wire Extension Cable 36"" ",276-1430,,Electronics
126,"2-Wire Extension Cable 24"" ",276-1431,,Electronics
127,"2-Wire Extension Cable 12"" ",276-1432,,Electronics
128,"2-Wire Extension Cable 6"" ",276-1433,,Electronics
129,"4"" Mecanum Wheel  ",276-1447,,Wheel
130,"4"" High Traction Tire ",276-1489,,Wheel
131,"2.75"" Wheel ",276-1496,,Wheel
132,"5"" Wheel ",276-1498,,Wheel
,"3.25"" Traction Wheel",276-3525,,Wheel
133,Intake Roller ,276-1499,,Motion
134,Winch and Pulley Kit,276-1546,,Motion
,Winch Drum,276-1546-002,See Above -- Individual Image Coming Soon,Motion
,Ratchet Gear,276-1546-003,See Above -- Individual Image Coming Soon,Motion
,Winch Pawl,276-1546-004,See Above -- Individual Image Coming Soon,Motion
,"Rope, 4ft",276-1546-005,See Above -- Individual Image Coming Soon,Motion
,Pulley,276-1546-006,See Above -- Individual Image Coming Soon,Motion
135,Serial Y-Cable,276-1579,,Electronics
,Large Turntable Bearing Assembly,276-1810-001,,Motion
,Small Turntable Bearing Assembly,276-1810-005,See Above -- Individual Image Coming Soon,Motion
,"Vex 1/8"" Shaft Coupler",276-2177-020,,Motion
,Shaft Coupler Shaft,276-2177-021,See Above -- Individual Image Coming Soon,Motion
138,"2.75"" Omni-Directional Wheel - Double Roller ",276-1902,,Wheel
,Linear Slide Track,276-1926-001,,Motion
,Linear Slide Bracket,276-1926-002,See Above -- Individual Image Coming Soon,Motion
,Inner Slide Truck,276-1926-003,See Above -- Individual Image Coming Soon,Motion
,Outer Slide Truck,276-1926-004,See Above -- Individual Image Coming Soon,Motion
,Longer Linear Slide Track,276-1926-005,See Above -- Individual Image Coming Soon,Motion
140,"#6-32 x 1/2"" Locking Screw ",276-1958,,Fastener
141,"3-Wire Extension Cable 36"" ",276-1976,Image Coming Soon,Electronics
142,Shaft Collar ,276-2010,,Motion
145,Pillow Block Bearing & Lock Bar Pack,276-2016,,Motion
